table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Bleckley County, Georgia,"12,523","12,270","12,279","12,465"
.Brantley County, Georgia,"18,044","18,119","18,210","18,401"
.Brooks County, Georgia,"16,272","16,276","16,284","16,245"
.Bryan County, Georgia,"45,043","46,974","48,218","49,739"
.Bulloch County, Georgia,"79,922","80,671","83,038","84,327"
.Burke County, Georgia,"24,635","24,362","24,434","24,438"
.Butts County, Georgia,"25,549","26,164","26,745","26,887"
.Calhoun County, Georgia,"5,574","5,541","5,474","5,457"
.Camden County, Georgia,"54,931","55,786","56,971","58,118"
.Candler County, Georgia,"11,022","10,947","10,962","11,059"
.Carroll County, Georgia,"119,498","121,595","124,530","127,098"
.Catoosa County, Georgia,"68,006","68,436","68,836","68,910"
.Charlton County, Georgia,"12,534","12,820","12,788","12,934"
.Chatham County, Georgia,"295,089","295,690","301,025","303,655"
.Chattahoochee County, Georgia,"9,475","9,044","8,746","8,661"
.Chattooga County, Georgia,"24,925","24,844","24,962","25,222"
.Cherokee County, Georgia,"268,156","274,732","281,194","286,602"
.Clarke County, Georgia,"128,551","129,206","129,726","129,933"
.Clay County, Georgia,"2,828","2,867","2,853","2,853"
.Clayton County, Georgia,"299,439","299,210","298,399","298,300"
.Clinch County, Georgia,"6,720","6,702","6,679","6,746"
.Cobb County, Georgia,"766,378","766,662","771,840","776,743"
.Coffee County, Georgia,"43,060","43,046","43,247","43,317"
.Colquitt County, Georgia,"45,891","45,763","45,830","46,167"
.Columbia County, Georgia,"156,865","159,662","162,471","165,162"
.Cook County, Georgia,"17,236","17,262","17,409","17,714"
.Coweta County, Georgia,"146,747","149,973","152,879","155,892"
.Crawford County, Georgia,"12,103","12,139","12,169","12,277"
.Crisp County, Georgia,"20,053","20,000","19,729","19,631"
